id,item_uuid,name,price,description,image,ingredient,genre,store,country
1,150047,アメリカンドッグ,131,原材料の高騰により、価格を１００円（税抜）から１２１円（税抜）に変更いたします。サクっとした食感とほんのり甘い風味が特長のアメリカンドッグです。,https://img.7api-01.dp1.sej.co.jp/item-image/150047/1FE6103DFB372C5F1762505627AC60DE.jpg,豚肉,フランク,セブン-イレブン,日本,全国
2,150153,ななチキ,220,ふっくらと食べごたえのある肉食感とジューシーさにこだわりました。肉を美味しく食べるため、肉汁を閉じ込めつつも、口どけが良いサクッと軽い衣で仕上げました。,https://img.7api-01.dp1.sej.co.jp/item-image/150153/F8E472C4EE0970A3BDD7E42E34C8288A.jpg,鶏肉,フライドチキン,セブン-イレブン,日本,北海道、東北、関東、中部、近畿、中国、四国、沖縄
3,150394,ふんわりxごろっと 肉まん,140,大きめのサイズにカットした豚肩ロース肉・玉ねぎ・筍・椎茸を使用した、具材の固形感と素材の美味しさあふれる中具を、ふんわりもっちりした生地で包みました。,https://img.7api-01.dp1.sej.co.jp/item-image/150394/D5733DD3DE219FA1C2348227BF20B217.jpg,豚肉,中華まん,セブン-イレブン,日本,全国
4,150093,明太チーズいももち,108,明太子とチーズをもちもち生地で包んだいももちです。さっくり軽い衣で小腹がすいた時にスナック感覚で楽しめる商品に仕上げました。,https://img.7api-01.dp1.sej.co.jp/item-image/150093/8595034D599371061AC4036173EC5D6B.jpg,明太子,変わり種,セブン-イレブン,日本
5,150188,炭火焼き鳥串もも塩,150,まろやかな味が特長の国産の藻塩を使用し、炭火でふっくら香ばしく焼き上げた焼き鳥です。,https://img.7api-01.dp1.sej.co.jp/item-image/150188/A78A01BA30C0466B85D53FF7B046F2F3.jpg,鶏肉,焼き鳥,セブン-イレブン,日本
6,150062,サックサク衣の牛肉コロッケ,100,サクッとした軽い食感とくちどけの良さにこだわった衣を使用しており、北海道産じゃがいもと牛肉の美味しさがしっかり感じられるコロッケです。,https://img.7api-01.dp1.sej.co.jp/item-image/150062/910CA61345C575A2CDEDA68A518369BC.jpg,牛肉,コロッケ,セブン-イレブン,日本
7,150317,ななから（もも）,70,薄衣に仕立て、柔らかジューシーなから揚げです。醤油・生姜・にんにくの味付けでご飯のおかずにもピッタリな味付けに仕上げました。,https://img.7api-01.dp1.sej.co.jp/item-image/150317/97C750B996C11A199090775259DB672B.jpg,鶏肉,からあげ,セブン-イレブン,日本
8,150073,揚げ鶏,220,パリっとした薄衣で肉の旨みを閉じ込めました。おかず、軽食どちらにもおすすめです！,https://img.7api-01.dp1.sej.co.jp/item-image/150073/5A34147F3C5AB30DDF8A10649D102EDD.jpg,鶏肉,フライドチキン,セブン-イレブン,日本
9,150042,からあげ棒,180,ブレンドした醤油で味付けする事で、香ばしい風味のからあげに仕上げました。スナックのような衣のサクサク感が楽しめる片手で食べやすい商品です。,https://img.7api-01.dp1.sej.co.jp/item-image/150042/CD868B71CCF635B622FA0978DBDE952E.jpg,鶏肉,からあげ,セブン-イレブン,日本
10,150213,ビッグアメリカンドッグ,131,原材料の高騰により、価格を１００円（税抜）から１２１円（税抜）に変更いたします。外はカリっと香ばしく、ほんのり甘いバニラの風味が感じられるアメリカンドッグです。,https://img.7api-01.dp1.sej.co.jp/item-image/150213/FFF0E045BFBA39F5220115A8A3D5E7BA.jpg,豚肉,フランク,セブン-イレブン,日本
11,150108,ひら天（小樽造り）,140,小樽の工場で製造したもっちり食感のひら天です。後味が雑味のないスッキリした甘さになっています。,https://img.7api-01.dp1.sej.co.jp/item-image/150108/119EE5994BCF2C90BEA503466D20D9D2.jpg,魚肉,変わり種,セブン-イレブン,日本
12,150152,ななチキレッド,230,ザクザク食感の衣と、唐辛子とガーリックでやみつきになる辛さの美味しいフライドチキンです。,https://img.7api-01.dp1.sej.co.jp/item-image/150152/B82A176B57E7A98B026142CC4161E484.jpg,鶏肉,フライドチキン,セブン-イレブン,日本
13,150227,柿安監修　秘伝タレで仕上げた和風牛肉ころっけ,95,荒砕きいもを使用し、じゃがいもの美味しさを感じられるコロッケです。秘伝のタレで和風の味付けに仕上げました。,https://img.7api-01.dp1.sej.co.jp/item-image/150227/C745CD4E5286F85DDFD81F20C62D4AA0.jpg,牛肉,コロッケ,セブン-イレブン,日本
14,150181,ガリチキビット,73,衣がガリッ！と楽しいガーリックのパンチある鶏ももフライドチキンです。,https://img.7api-01.dp1.sej.co.jp/item-image/150181/E5C99E68C6D9687A9DFA596C6420972D.jpg,鶏肉,フライドチキン,セブン-イレブン,日本
15,150055,じゃがバターリング（北海道産じゃがいも使用）,108,北海道産じゃがいものみを使用しています。小腹がすいたときやおやつ代わりに、片手で気軽に召し上がっていただける新しいスナックです。,https://img.7api-01.dp1.sej.co.jp/item-image/150055/E7CD65ACBD50001AADE7A0B21469136E.jpg,じゃがいも,ポテト,セブン-イレブン,日本
16,150142,サックサク衣のメンチカツ,171,牛肉の旨味を感じられる、油切れの良いあっさりとしたメンチカツです。,https://img.7api-01.dp1.sej.co.jp/item-image/150142/7F5DB4A4B1EBA4F12C9033DADBCF87E5.jpg,豚肉,カツ,セブン-イレブン,日本
17,150075,サックサク衣の牛メンチカツ（大豆ｐｌｕｓ＋）,171,牛肉の旨味を感じられる、油切れの良いあっさりとしたメンチカツです。,https://img.7api-01.dp1.sej.co.jp/item-image/150075/F9BEB98B904B24C43E3FCAF89F9208AC.jpg,豚肉,カツ,セブン-イレブン,日本
18,150061,のり塩ポテトリング（北海道産じゃがいも使用）,108,北海道産じゃがいものホクホク感と、適度な塩味と、のりの風味をマッチさせました。見た目の色も形も新しい、売場で目を引く商品です。,https://img.7api-01.dp1.sej.co.jp/item-image/150061/8E0832688FE4B28783D41D64ACD48C5C.jpg,じゃがいも,ポテト,セブン-イレブン,日本
19,150048,牛肉メンチ,201,牛肉の旨味と玉ねぎの甘みを感じられる、肉肉しい食感のメンチカツに仕上げました。,https://img.7api-01.dp1.sej.co.jp/item-image/150048/6DF13F4B586E658E5428E48F08C181F1.jpg,牛肉,カツ,セブン-イレブン,日本
20,150396,カリッと揚げ餃子,32,カリッとした軽い食感の皮が特長の揚げ餃子です。たっぷり入った野菜の食感をお楽しみください。,https://img.7api-01.dp1.sej.co.jp/item-image/150396/48646ED9472EE17775116D3A13012051.jpg,豚肉,揚げ物,セブン-イレブン,日本
21,150205,豚肉と筍の春巻,100,豚肉、筍、しいたけ等の具材を直火の釜でしっかりと炒め合わせ、素材の良さを活かした中具と、パリパリの食感の皮が美味しい春巻です。,https://img.7api-01.dp1.sej.co.jp/item-image/150205/68531F9A7C55782B7BA725685783D590.jpg,豚肉,揚げ物,セブン-イレブン,日本
22,150222,フライドポテト,201,アメリカ北西部で育てたじゃがいもを太目にカットしたフライドポテトです。ホクホクした食感とバランスの良い塩味がくせになる美味しさです。,https://img.7api-01.dp1.sej.co.jp/item-image/150222/4387D653305734C97A869C3CA851827D.jpg,じゃがいも,フライドポテト,セブン-イレブン,日本
23,150011,倍盛りポテト,402,アメリカ北西部で育てたじゃがいもを太めにカットしたフライドポテトです。ホクホクした食感とバランスの良い塩味がくせになる美味しさです。,https://img.7api-01.dp1.sej.co.jp/item-image/150011/0A3B6D7740F69BF651BD609F87BC10E0.jpg,じゃがいも,フライドポテト,セブン-イレブン,日本
24,150209,サクなげ（うま塩）,43,国産チキン使用・国内製造のチキンナゲットです。軽くサクサクな衣と弾力のあるお肉の食感にこだわりました。,https://img.7api-01.dp1.sej.co.jp/item-image/150209/A100C82B68072B2AFD1F82ACA624D706.jpg,鶏肉,揚げ物,セブン-イレブン,日本
25,150173,黒糖風味のアメリカンドッグ,160,黒糖を使用したアメリカンドッグです。黒い見た目でクセになるザクザクとした食感が特長です。,https://img.7api-01.dp1.sej.co.jp/item-image/150173/7999C33DE9A587A77BE4E378A7E550D8.jpg,豚肉,フランク,セブン-イレブン,日本
26,150006,ハッシュポテト,121,サクサク食感のハッシュポテトです。朝食やおやつなどにピッタリの商品です。,https://img.7api-01.dp1.sej.co.jp/item-image/150006/B96B1895E16B52D66D6A2B598351AE2E.jpg,じゃがいも,ポテト,セブン-イレブン,日本
27,150019,チーズロール,95,皮はパリッと、食感の違うチーズを楽しめる、片手で食べられるロールタイプのチーズスナックです。,https://img.7api-01.dp1.sej.co.jp/item-image/150019/14A75B9F49202DAB9CE977B029493207.jpg,チーズ,揚げ物,セブン-イレブン,日本
28,150307,チキンナゲット５個入り,205,肉感があり、しっとり・ジューシーな食感のチキンナゲットです。クセになる味付け、軽い衣にする事で食べすすみがよく、間食にピッタリな商品です。,https://img.7api-01.dp1.sej.co.jp/item-image/150307/B27890FB775E4CE7B73E71B9D4F3948C.jpg,鶏肉,揚げ物,セブン-イレブン,日本
29,150170,ＢＩＧポークフランク,180,原材料の高騰により、価格を１５８円（税抜）から１６７円（税抜）に変更いたします。ジューシーで食べ応えがあり、食べ飽きない味のポークフランクです。,https://img.7api-01.dp1.sej.co.jp/item-image/150170/541C9A3D8EB56041250184C9483E3ED3.jpg,豚肉,フランク,セブン-イレブン,日本
30,150263,燻製あらびきソーセージ,131,原材料の高騰により、価格を１０８円（税抜）から１２１円（税抜）に変更いたします。天然腸詰めによるパキっとした食感とスモークの香りを感じるよう仕上げました。,https://img.7api-01.dp1.sej.co.jp/item-image/150263/DAB2A7A72D103B89C7404D2A44AAA57F.jpg,豚肉,フランク,セブン-イレブン,日本
31,150285,さくさくロール　（お魚とお豆腐）,151,魚のすり身と豆腐で作ったかまぼこを食パンで包んで揚げた、外はサクサク中は豆腐の風味豊かでやわらかな食感です。,https://img.7api-01.dp1.sej.co.jp/item-image/150285/393FFDE892E205704CC151F8B87AB2C6.jpg,豆腐,変わり種,セブン-イレブン,日本
32,150187,お店で揚げたカレーパンスパイシーレッド,180,旨味たっぷりのカレーに、香辛料の香りとピリッとスパイシーな辛味をプラスした辛口カレーパンの登場です。,https://img.7api-01.dp1.sej.co.jp/item-image/150187/D99F10EEA5ADB536F5A208BE247F851D.jpg,牛肉,揚げ物,セブン-イレブン,日本
33,150179,炭火焼き鳥串皮タレ,150,濃口醤油とかえしをブレンドしたタレをつけ、炭火でふっくら香ばしく焼き上げた焼き鳥皮串です。,https://img.7api-01.dp1.sej.co.jp/item-image/150179/463ED593F9C152959A39669C1F5FFB3A.jpg,鶏肉,焼き鳥,セブン-イレブン,日本
34,150174,炭火焼き鳥串ももタレ,150,濃口醤油とかえしをブレンドしたタレをつけ、炭火でふっくら香ばしく焼き上げた焼き鳥です。,https://img.7api-01.dp1.sej.co.jp/item-image/150174/3E44F8E5ABA8788F78D8AF676E208676.jpg,鶏肉,焼き鳥,セブン-イレブン,日本
35,150163,カスタードたい焼き,151,サックリとした美味しい皮と風味豊かな味わいのカスタードクリームが特長のたい焼きです。,https://img.7api-01.dp1.sej.co.jp/item-image/150163/CC5BAFAAA59BA035DCC54B3ACD5F2AB2.jpg,カスタード,変わり種,セブン-イレブン,日本
36,150161,お店で揚げたカレーパン,161,スパイスから丁寧に炒めた、上品な風味・味わいのビーフカレーを包みました。専用のこだわりのパン粉を使用した、サクサク食感が楽しめるカレーパンです。,https://img.7api-01.dp1.sej.co.jp/item-image/150161/F03EFC303C421057889DFC99471BE0C1.jpg,牛肉,揚げ物,セブン-イレブン,日本
37,150070,サーターアンダギー,86,沖縄限定商品。中はふんわり、外はカリカリで優しい甘さが特長のサーターアンダギーです。,https://img.7api-01.dp1.sej.co.jp/item-image/150070/C040995CADC0265CBB9B99C60E723651.jpg,大豆,変わり種,セブン-イレブン,日本
38,150155,揚げいも,95,ホクホクに蒸しあげたじゃがいもを素材引き立つ塩で味付け、ほんのり甘いサクサクのドーナツ生地で包みました。おやつに軽食にぴったりのフライドスナックです。,https://img.7api-01.dp1.sej.co.jp/item-image/150155/DAA2F0D0644568F857E9A60400651901.jpg,じゃがいも,ポテト,セブン-イレブン,日本
39,150359,ささみ揚げ（梅しそ）,161,鶏のささみをしっとりやわらかく仕上げ、梅と大葉をのせ、衣で包んで揚げた商品です。,https://img.7api-01.dp1.sej.co.jp/item-image/150359/D422CADC1753F45182DFD166CAD48BCE.jpg,鶏肉,揚げ物,セブン-イレブン,日本
40,150233,ふわもち×とろ～り　　ピザまん,150,原材料の高騰により、価格を１３０円（税抜）から１３９円（税抜）に変更いたします。トマトの酸味が効いたトマトソースとチーズを、ふんわりもちっとした生地で包みました,https://img.7api-01.dp1.sej.co.jp/item-image/150233/0101BF3D2519B38A7A8CFBE0AB720B40.jpg,トマト,中華まん,セブン-イレブン,日本
41,150244,お店で蒸した　ほかふわたまご蒸しケーキ,131,たまごを多く使用したふわふわ食感の蒸しパンです。ふわふわとしながら軽いくちどけに仕上げました。,https://img.7api-01.dp1.sej.co.jp/item-image/150244/3AAEDC615B87ACB3880C91D07A12EF9C.jpg,卵,デザート,セブン-イレブン,日本
42,150071,エビチリまん,192,豆板醤から作り上げ、辛味もありながら旨味を引き立てた本格的なエビチリで作った中華まんです。生地も口どけのよい食感に仕上げました。,https://img.7api-01.dp1.sej.co.jp/item-image/150071/B88E03D84B98E2F04819050EDE332AFE.jpg,エビ,中華まん,セブン-イレブン,日本